entry_time,exit_time,entry_price,exit_price,direction,pnl,gross_pnl,commission,r_multiple,sl,tp,mae,mfe,mae_price,mfe_price,mae_pnl,mfe_pnl,mae_r,mfe_r,duration,exit_reason,size,initial_risk
2025-05-30 14:17:00,2025-05-30 14:18:00,3279.365,3282.285,short,-567.02,-567.02,0.0,-0.62,3274.65529,3292.67929,4.62,0.0,3283.985,3279.365,-897.14,0.0,-0.98,0.0,1.0,SL Hit,194.1855,914.56
2025-10-23 00:37:00,2025-10-23 00:38:00,4075.945,4073.655,short,328.5,328.5,0.0,0.364,4069.654,4094.0525,1.53,4.65,4077.475,4071.298,-219.48,666.62,-0.24,0.74,1.0,SL Hit,143.4514,902.45
2026-01-29 09:02:00,2026-01-29 09:03:00,5505.215,5502.438,short,241.39,241.39,0.0,0.245,5493.88057,5534.14607,2.58,7.64,5507.798,5497.575,-224.52,664.09,-0.23,0.67,1.0,SL Hit,86.923,985.22
2026-02-27 15:29:00,2026-02-27 15:37:00,5228.335,5233.125,long,500.08,500.08,0.0,0.4715,5218.17657,5251.70107,1.51,7.04,5226.825,5235.375,-157.65,734.98,-0.15,0.69,8.0,Exit,104.4013,1060.55
